26-Sep,1,10340.94215,10558.12469,1989.876295,42.40908718,22931.35229
26-Sep,2,9906.103477,10116.68642,1921.244365,41.38889757,21985.42344
26-Sep,3,9654.070762,9808.456937,1854.936582,41.54922199,21359.0133
26-Sep,4,9530.314673,9679.201144,1824.8915,42.12587425,21076.53365
26-Sep,5,9745.977687,9804.783828,1860.043375,43.77046857,21454.57597
26-Sep,6,10313.09823,10457.4487,1953.955563,47.71334698,22772.21634
26-Sep,7,11338.88129,11349.15185,2163.774191,52.84911265,24904.65588
26-Sep,8,11880.37774,11635.91077,2242.001702,53.91211264,25812.20206
26-Sep,9,12041.26324,11743.08489,2253.137149,53.45139611,26090.93707
26-Sep,10,11999.86849,12055.11792,2279.948577,52.51479886,26387.45049
26-Sep,11,12139.71163,12406.85387,2290.786157,53.7543944,26891.10614
26-Sep,12,12332.74583,12779.24244,2351.995568,53.6631051,27517.6468
26-Sep,13,12493.82917,13118.36074,2404.078346,55.7147111,28071.9833
26-Sep,14,12962.23751,13668.5333,2491.613726,55.77315167,29178.15796
26-Sep,15,13507.19684,14182.16985,2570.26288,56.54722352,30316.17699
26-Sep,16,14228.16023,14689.05075,2670.969265,57.75873682,31645.93885
26-Sep,17,14792.10322,14917.08964,2792.314598,59.50475265,32561.01278
26-Sep,18,15217.30336,14860.72073,2881.050612,60.15599516,33019.23088
26-Sep,19,15268.40151,14635.20946,2925.088314,59.12516299,32887.82473
26-Sep,20,15416.93999,14930.81506,3016.209142,59.86329162,33423.82751
26-Sep,21,14861.01976,14478.60239,2897.595841,56.93860348,32294.15678
26-Sep,22,13928.90192,13710.16534,2699.199378,52.32420472,30390.59067
26-Sep,23,12638.85934,12572.49265,2427.953087,47.79636704,27687.10208
26-Sep,0,11602.36854,11514.5491,2192.407679,43.9248986,25353.2507
27-Sep,1,10949.2262,10736.36433,2074.27833,41.96607351,23801.83525
27-Sep,2,10521.64969,10228.47835,1970.487272,40.56443948,22761.18015
27-Sep,3,10158.05236,9877.177056,1901.842237,40.53745246,21977.60916
27-Sep,4,10035.88862,9738.352366,1874.145277,40.64653838,21689.0328
27-Sep,5,10212.01199,9910.579751,1907.509931,42.60297854,22072.70564
27-Sep,6,10780.25176,10493.51879,2033.957575,46.51906408,23354.24801
27-Sep,7,11726.20966,11360.09019,2200.249438,51.40075633,25337.95001
27-Sep,8,12318.03328,11643.41065,2260.229644,53.06899283,26274.7424
27-Sep,9,12487.22785,11903.43919,2299.584755,52.9031187,26743.15513
27-Sep,10,12578.96901,12208.11868,2338.309504,52.13826179,27177.53585
27-Sep,11,12710.29681,12634.00547,2376.149375,52.86532894,27773.31754
27-Sep,12,12958.51221,13029.09001,2397.16472,55.11877833,28439.88636
27-Sep,13,13194.12559,13443.35601,2452.162442,56.89468847,29146.53878
27-Sep,14,13729.57592,14145.73292,2546.146457,59.02667087,30480.48205
27-Sep,15,14406.15572,14809.86784,2663.670004,61.11323276,31940.80751
27-Sep,16,14978.45987,15418.03847,2794.963727,63.42146763,33254.88395
27-Sep,17,15597.51582,15761.33931,2931.37284,65.76375705,34355.99216
27-Sep,18,15944.13709,15613.44769,3011.768144,65.69104329,34635.04387
27-Sep,19,15834.7903,15264.63804,3034.038011,63.74969902,34197.21545
27-Sep,20,15826.10583,15445.18112,3110.980826,62.89645184,34445.16395
27-Sep,21,15194.33506,14852.58265,2974.500463,59.55421798,33080.97179
27-Sep,22,14094.72144,13876.44782,2756.837482,55.22888609,30783.23549
27-Sep,23,12829.73835,12701.05644,2490.331984,50.11026702,28071.23705
27-Sep,0,11828.51255,11591.66996,2247.981702,45.94121492,25714.10534
28-Sep,1,10981.22867,10826.63438,2115.466275,43.36456307,23966.69477
28-Sep,2,10595.85562,10305.30592,2005.906086,41.68916626,22948.75746
28-Sep,3,10258.3253,9957.091468,1932.266692,41.81598921,22189.49963
28-Sep,4,10124.14633,9656.998033,1880.737115,41.82559421,21703.70759
28-Sep,5,10226.74284,9720.187356,1908.42264,43.6135984,21898.96745
28-Sep,6,10669.28133,10133.43447,2036.541665,47.29166232,22886.54975
28-Sep,7,11520.798,10871.97795,2229.464206,51.5793848,24673.81931
28-Sep,8,12035.24026,11080.14655,2296.469278,52.29767011,25464.15379
28-Sep,9,12145.6442,11389.24233,2333.480893,52.5503427,25920.918
28-Sep,10,12193.14056,11780.97072,2370.080874,53.13323724,26397.32536
28-Sep,11,12389.59674,12444.92524,2429.534977,54.95639309,27319.01362
28-Sep,12,12543.82338,12973.1157,2482.062764,57.28192152,28056.28381
28-Sep,13,12668.88781,13645.73295,2546.386843,60.4090972,28921.4168
28-Sep,14,13315.13881,14599.55898,2659.079648,62.34267671,30636.12028
28-Sep,15,13960.63343,15445.2018,2784.805705,64.93185636,32255.57255
28-Sep,16,14696.85711,16139.94311,2921.038757,67.43366838,33825.2722
28-Sep,17,15266.21324,16549.07202,3063.253168,68.47072467,34947.00956
28-Sep,18,15550.62099,16326.3568,3131.253433,68.15648291,35076.38739
28-Sep,19,15509.83225,15842.33637,3106.021977,64.53854871,34522.7286
28-Sep,20,15458.53119,15854.6358,3159.257,62.36954456,34534.79385
28-Sep,21,14795.88482,15183.89707,3039.352922,58.10931242,33077.24412
