Net Demand 04/03/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21552,21263,21263,21263,21025,21025,21025,20732,20732,20732,20452,20452,20452,20232,20232,20232,20059,20059,20059,19873,19873,19873,19759,19759,19759,19639,19639,19639,19518,19518,19518,19465,19465,19465,19378,19378,19378,19378,19378,19378,19311,19311,19311,19279,19279,19279,19278,19278,19278,19478,19478,19478,19664,19664,19664,19865,19865,19865,20100,20100,20100,20639,20639,20639,21028,21028,21028,21489,21489,21489,21896,21896,21896,22774,22774,22774,23289,23289,23289,23646,23646,23646,23853,23853,23853,24178,24178,24178,24417,24417,24417,24472,24472,24472,24398,24398,24398,24473,24473,24473,24434,24434,24434,24293,24293,24293,24139,24139,24139,24104,24104,24104,23959,23959,23959,23912,23912,23912,23968,23968,23968,23917,23917,23917,23946,23946,23946,23644,23644,23644,23514,23514,23514,23277,23277,23277,23051,23051,23051,22897,22897,22897,22786,22786,22786,22695,22695,22695,22629,22629,22629,22632,22632,22632,22720,22720,22720,22830,22830,22830,22885,22885,22885,22941,22941,22941,22804,22804,22804,23087,23087,23087,23187,23187,23187,23249,23249,23249,23369,23369,23369,23458,23458,23458,23398,23398,23398,23467,23467,23467,23596,23596,23596,23640,23640,23640,23741,23741,23741,23817,23817,23817,23923,23923,23923,23873,23873,23873,23963,23963,23963,24200,24200,24200,24478,24478,24478,24512,24512,24512,24688,24688,24688,24961,24961,24961,25319,25319,25319,25743,25743,25743,26330,26330,26330,26878,26878,26878,27179,27179,27179,27268,27268,27268,27284,27284,27284,27268,27268,27268,26984,26984,26984,26748,26748,26748,26451,26451,26451,26105,26105,26105,25621,25621,25621,25111,25111,25111,24590,24590,24590,24081,24081,24081,23603,23603,23603,23120,23120,23120,22660,22660,22660,22229,22229,22229,21911,21911,21911
Current demand<br />(5 min. avg.),21394,21293,21256,21120,21041,20950,20857,20741,20653,20564,20493,20428,20331,20267,20239,20135,20070,19999,19968,19925,19859,19816,19746,19720,19701,19675,19624,19584,19572,19555,19534,19474,19462,19436,19377,19368,19351,19333,19339,19300,19260,19279,19262,19239,19245,19248,19259,19287,19313,19406,19482,19551,19590,19669,19716,19796,19859,19945,20000,20140,20266,20515,20746,20909,21053,21094,21111,21248,21448,21546,21710,21858,22017,22370,22737,22958,23144,23309,23398,23537,23615,23688,23736,23782,23856,24031,24215,24279,24330,24362,24390,24393,24425,24394,24395,24371,24391,24432,24452,24427,24387,24349,24321,24302,24234,24188,24189,24149,24094,24094,24151,24222,24199,24181,24115,24146,24096,24038,23995,23966,23929,24046,24069,23897,23839,23780,23715,23666,23601,23544,23465,23378,23327,23265,23174,23137,23066,23043,22993,22937,22905,22888,22843,22805,22747,22714,22724,22714,22705,22658,22651,22663,22680,22704,22731,22775,22788,22790,22825,22825,22858,22914,22900,22775,22724,22854,22991,23027,22958,23064,23103,23125,23167,23208,23196,23234,23236,23272,23330,23391,23382,23279,23276,23309,23332,23366,23417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,17745,17549,17490,17298,17138,16992,16875,16745,16616,16572,16478,16403,16307,16217,16200,16115,16021,15957,15915,15907,15862,15810,15753,15723,15738,15707,15758,15745,15754,15711,15709,15666,15651,15661,15652,15628,15673,15650,15674,15634,15597,15570,15554,15531,15548,15592,15610,15641,15689,15764,15918,16066,16193,16390,16609,16803,16967,17097,17214,17356,17488,17729,17973,18139,18276,18445,18463,18555,18726,18807,18952,19136,19239,19470,19817,20121,20340,20538,20770,20954,21168,21262,21310,21292,21259,21263,21268,21198,21019,20830,20498,20182,19874,19549,19282,18958,18593,18226,17867,17578,17237,16844,16457,16144,15956,15559,15285,15059,14878,14951,14973,14963,14929,14563,14241,14120,14045,13907,13867,13738,13738,13786,13743,13558,13452,13402,13253,13207,13118,13034,12918,12757,12598,12609,12698,12682,12593,12583,12549,12532,12697,12763,12710,12716,12737,12758,12794,12845,12994,13003,12872,12774,12779,12722,12398,12267,12185,12119,12087,12121,12147,12170,12201,12139,12100,12004,12180,12259,12165,12264,12235,12345,12429,12547,12564,12581,12595,12621,12631,12704,12797,12767,12736,12896,12950,13009,13157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
